id_parc;nom_usuel;puissance_parc;code_insee;nom_commune;code_dept;code_reg;date_depot_demande_autorisation;date_delivrance_avis_autorite_environnementale;date_delivrance_autorisation;date_debut_construction;date_mise_en_service;date_debut_demantelement;etat_parc;statut_admin;statut_parc;date_arrete_prefectoral_complementaire_renouvellement;renouvellement;nom_exploitant;siret;date_maj
0003012186;LES ORLES DE LA TOMELLE;10.25;08021;ARNICOURT;08;44;;;;;2010-05-12;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003012186;LES ORLES DE LA TOMELLE;10.25;08048;BARBY;08;44;;;;;2010-05-12;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003012329;FE Sainte-Anne;6.0;52114;CHATEAUVILLAIN;52;44;;;;2018-02-26;2021-04-05;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003012415;FERME EOLIENNE DU MONT-LOUIS;15.0;08306;MONT-LAURENT;08;44;;;;2023-09-01;2024-07-01;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003012467;Eoliennes des Limodores;22.0;52008;ANDELOT-BLANCHEVILLE;52;44;;;;2023-02-13;2024-05-01;;En exploitation;Autorisation;Autorisé;;Aucun;Eoliennes des Limodores;81107617300012;
0003012467;Eoliennes des Limodores;22.0;52058;BOLOGNE;52;44;;;;2023-02-13;2024-05-01;;En exploitation;Autorisation;Autorisé;;Aucun;Eoliennes des Limodores;81107617300012;
0003012467;Eoliennes des Limodores;22.0;52428;ROCHEFORT-SUR-LA-COTE;52;44;;;;2023-02-13;2024-05-01;;En exploitation;Autorisation;Autorisé;;Aucun;Eoliennes des Limodores;81107617300012;
0003012467;Eoliennes des Limodores;22.0;52522;VIEVILLE;52;44;;;;2023-02-13;2024-05-01;;En exploitation;Autorisation;Autorisé;;Aucun;Eoliennes des Limodores;81107617300012;
0003012543;PARC EOLIEN DES 7 DOMAINES;13.2;57002;ABONCOURT-SUR-SEILLE;57;44;;;;;2021-08-23;;En exploitation;Autorisation;Autorisé;;Aucun;EDPR France Holding;81863925400056;2023-07-21
0003012543;PARC EOLIEN DES 7 DOMAINES;13.2;57440;MANHOUE;57;44;;;;;2021-08-23;;En exploitation;Autorisation;Autorisé;;Aucun;EDPR France Holding;81863925400056;2023-07-21
0003012547;PARC EOLIEN DU BAN SAINT-JEAN;10.8;57172;DENTING;57;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Parc Eolien du Ban Saint-Jean;82424333100017;
0003012560;Parc éolien de TREVERAY/SAINT-JOIRE;28.6;55459;SAINT-JOIRE;55;44;;;;2020-09-24;2022-06-01;;En exploitation;Autorisation;Autorisé;;Aucun;SOCIETE DU PARC EOLIEN DE TREVERAY - SAINT JOIRE (ENGIE Green);;
0003012560;Parc éolien de TREVERAY/SAINT-JOIRE;28.6;55516;TREVERAY;55;44;;;;2020-09-24;2022-06-01;;En exploitation;Autorisation;Autorisé;;Aucun;SOCIETE DU PARC EOLIEN DE TREVERAY - SAINT JOIRE (ENGIE Green);;
0003012570;Parc éolien de Piroy;9.0;52337;MONTREUIL-SUR-THONNANCE;52;44;;;;2019-10-07;2020-09-01;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003012570;Parc éolien de Piroy;9.0;52370;OSNE LE VAL;52;44;;;;2019-10-07;2020-09-01;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003012582;BORALEX - Parc éolien Rernardière - Mont de Bézard II;25.2;51276;GOURGANCON;51;44;2006-04-04;;2019-11-15;2022-01-11;2022-10-15;;En exploitation;Autorisation;Autorisé;2019-11-15;Notable;Exploitant anonymisé;siret anonyme;
0003012582;BORALEX - Parc éolien Rernardière - Mont de Bézard II;25.2;10369;SEMOINE;10;44;2006-04-04;;2019-11-15;2022-01-11;2022-10-15;;En exploitation;Autorisation;Autorisé;2019-11-15;Notable;Exploitant anonymisé;siret anonyme;
0003012667;Parc éolien de PISTOLE;22.8;57009;AJONCOURT;57;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003012691;Parc Eolien de Belrain Erize la Brûlée;8.0;55282;LAVALLEE;55;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003012691;Parc Eolien de Belrain Erize la Brûlée;8.0;55289;LEVONCOURT;55;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003012834;CEPE DU HAUT PERRON;26.2;52050;BIESLES;52;44;;;;2024-09-16;;;En construction;Autorisation;Autorisé;;Aucun;CEPE DU HAUT PERRON;83245599200053;
0003012834;CEPE DU HAUT PERRON;26.2;52061;BOURDONS-SUR-ROGNON;52;44;;;;2024-09-16;;;En construction;Autorisation;Autorisé;;Aucun;CEPE DU HAUT PERRON;83245599200053;
0003012835;CEPE LE LANGROIS;25.2;52027;AUJEURRES;52;44;;;;2023-02-06;2024-04-21;;En exploitation;Autorisation;Autorisé;;Aucun;CEPE LE LANGROIS;;
0003012835;CEPE LE LANGROIS;25.2;52092;CHALANCEY;52;44;;;;2023-02-06;2024-04-21;;En exploitation;Autorisation;Autorisé;;Aucun;CEPE LE LANGROIS;;
0003012835;CEPE LE LANGROIS;25.2;52446;SAINT-BROINGT-LES-FOSSES;52;44;;;;2023-02-06;2024-04-21;;En exploitation;Autorisation;Autorisé;;Aucun;CEPE LE LANGROIS;;
0003012835;CEPE LE LANGROIS;25.2;52499;VAILLANT;52;44;;;;2023-02-06;2024-04-21;;En exploitation;Autorisation;Autorisé;;Aucun;CEPE LE LANGROIS;;
0003012835;CEPE LE LANGROIS;25.2;52519;VESVRES-SOUS-CHALANCEY;52;44;;;;2023-02-06;2024-04-21;;En exploitation;Autorisation;Autorisé;;Aucun;CEPE LE LANGROIS;;
0003012846;Les vents de la Moivre IV;14.6;51022;AULNAY L AITRE;51;44;;;;2021-11-24;2024-03-01;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003012846;Les vents de la Moivre IV;14.6;51141;LA CHAUSSEE SUR MARNE;51;44;;;;2021-11-24;2024-03-01;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003012848;Société d'Exploitation du PE de Pringy;24.29;51446;PRINGY;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003012939;LES MATS D'EOLE;13.2;51148;CHEPPES LA PRAIRIE;51;44;;;;2021-09-01;2022-11-01;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003012979;FERME EOLIENNE DE TARZY;7.2;08440;TARZY;08;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003012980;PARC EOLIEN DE NONGEE;14.4;08410;SEMIDE;08;44;;;;2023-02-22;2023-12-28;;En exploitation;Autorisation;Autorisé;;Aucun;PARC EOLIEN DE NONGEE;81878784800014;
0003012984;MAISONCELLE-ET-VILLERS;7.95;08268;MAISONCELLE-ET-VILLERS;08;44;;;;;;;;Autorisation;En instruction;;Aucun;ENGIE GREEN MAISONCELLE-ET-VILLERS;84375545500014;
0003012992;SALM ENERGIES;25.2;57004;ACHAIN;57;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003012992;SALM ENERGIES;25.2;57451;MARTHILLE;57;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003013044;Chaintrix-Bierges;24.94;51107;CHAINTRIX-BIERGES;51;44;;;;2023-08-01;;;;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003013044;Chaintrix-Bierges;24.94;51603;VELYE;51;44;;;;2023-08-01;;;;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003013089;Parc éolien entre Pierre et Morains;19.2;51430;PIERRE-MORAINS;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003013089;Parc éolien entre Pierre et Morains;19.2;51158;VAL-DES-MARAIS;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003013192;Parc Eolien de Saulnois;21.6;57381;LANEUVEVILLE-EN-SAULNOIS;57;44;;;;2023-08-21;;;En construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003013269;FE Saint-Julien;8.0;52114;CHATEAUVILLAIN;52;44;;;;2018-02-26;2018-12-05;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003013342;PE Montmirail/Champaubert;20.8;51042;BAYE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003013342;PE Montmirail/Champaubert;20.8;51113;CHAMPAUBERT;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003013475;Parc éolien du Plateau de l'Ajoux;28.8;52420;REYNEL;52;44;;;;;;;;Autorisation;En instruction;;Aucun;ERG FRANCE;82364767200018;2023-07-21
0003013475;Parc éolien du Plateau de l'Ajoux;28.8;52044;ROCHES-BETTAINCOURT;52;44;;;;;;;;Autorisation;En instruction;;Aucun;ERG FRANCE;82364767200018;2023-07-21
0003013498;CENTRALE EOLIENNE DES AILES DE FOULZY ;21.0;08100;CHAMPLIN;08;44;;;;2023-09-18;;;En construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003013498;CENTRALE EOLIENNE DES AILES DE FOULZY ;21.0;08189;GIRONDELLE;08;44;;;;2023-09-18;;;En construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003013632;Projet éolien Nouvellois ;18.0;55067;BOVIOLLES;55;44;;;;;;;;Autorisation;En instruction;;Aucun;CEPE NOUVELLOIS;;2023-07-21
0003013632;Projet éolien Nouvellois ;18.0;55472;SAULVAUX;55;44;;;;;;;;Autorisation;En instruction;;Aucun;CEPE NOUVELLOIS;;2023-07-21
0003013648;Champ Florent;19.8;52062;BOURG;52;44;;;;;;;;Autorisation;En instruction;;Aucun;Engie Green Champ Florent;;
0003013648;Champ Florent;19.8;52134;COHONS;52;44;;;;;;;;Autorisation;En instruction;;Aucun;Engie Green Champ Florent;;
0003013655;Centrale éolienne de l'Orvin;24.0;10169;GUMERY;10;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003013655;Centrale éolienne de l'Orvin;24.0;10382;TRAINEL;10;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003013657;Eoliennes des Lunaires;13.2;88221;GRUEY LES SURANCE;88;44;;;;2022-09-01;2023-12-01;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003013674;Parc éolien des Mothées;12.6;51415;OMEY;51;44;;;;2024-07-15;2024-12-18;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003013674;Parc éolien des Mothées;12.6;51436;POGNY;51;44;;;;2024-07-15;2024-12-18;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003013678;VELYE;24.0;51268;GERMINON;51;44;;;;;;;;Autorisation;En instruction;;Aucun;EOLIS LES MARRONNIERS;82044490900015;
0003013678;VELYE;24.0;51603;VELYE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;EOLIS LES MARRONNIERS;82044490900015;
0003013681;LA GRANDE CONTRÉE;13.2;51129;CHARLEVILLE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003013771;Bonnecourt-Chauffourt;20.4;52059;BONNECOURT;52;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003013771;Bonnecourt-Chauffourt;20.4;52120;CHAUFFOURT;52;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003013806;PROJET EOLIEN DE CHAMPGUYON - SEPE GRIOTTES;23.35;51116;CHAMPGUYON;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003013807;CENTRALE EOLIENNE LES GRANGES;16.6;51512;SAINT-QUENTIN-SUR-COOLE;51;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003013808;LA BLANCHE COTE;11.75;51589;VANAULT-LE-CHATEL;51;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003013855;Bermont;28.0;51472;ST AMAND SUR FION;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003013880;Ferme eolienne de Rochebeau;27.3;51032;BAGNEUX;51;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;FERME EOLIENNE DE ROCHEBEAU;81933473100018;
0003013880;Ferme eolienne de Rochebeau;27.3;51155;CLESLES;51;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;FERME EOLIENNE DE ROCHEBEAU;81933473100018;
0003013880;Ferme eolienne de Rochebeau;27.3;10144;ETRELLES-SUR-AUBE;10;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;FERME EOLIENNE DE ROCHEBEAU;81933473100018;
0003013981;COUPETZ;19.75;51178;COUPETZ;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003013988;TILLEUL;27.6;57199;ESCHERANGE;57;44;;;;;;;;Autorisation;En instruction;;Aucun;ENERGIE DES TILLEULS - Portes du Porcien;83397198900029;
0003013988;TILLEUL;27.6;57586;ROCHONVILLERS;57;44;;;;;;;;Autorisation;En instruction;;Aucun;ENERGIE DES TILLEULS - Portes du Porcien;83397198900029;
0003013988;TILLEUL;27.6;57731;VOLMERANGE-LES-MINES;57;44;;;;;;;;Autorisation;En instruction;;Aucun;ENERGIE DES TILLEULS - Portes du Porcien;83397198900029;
0003013993;PROJET EOLIEN DE L'EPINETTE - SEPE HAILLAME (Intervent);7.05;08268;MAISONCELLE-ET-VILLERS;08;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003014007;Centrale éolienne de Lollieux;14.4;54011;ALLONDRELLE LA MALMAISON;54;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003014062;LES RAINETTES;8.8;52107;CHANTRAINES;52;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014066;SEPE des fontaines;35.0;51185;COURGIVAUX;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014066;SEPE des fontaines;35.0;51402;NEUVY;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014067;SEPE des champeaux;30.0;51236;LES ESSARTS LE VICOMTE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014067;SEPE des champeaux;30.0;51395;NESLE LA REPOSTE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014088;QUADRAN;15.05;51099;BUSSY LETTREE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014088;QUADRAN;15.05;51212;DOMMARTIN-LETTREE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014094;Parc éolien Petite Montagne;18.0;55044;BELRAIN;55;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003014094;Parc éolien Petite Montagne;18.0;55175;ERIZE LA BRULEE;55;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003014136;Parc Eolien En Beauté (ENGIE GREEN);40.0;52529;VILLEGUSIEN-LE-LAC;52;44;;;;;;;;Autorisation;En instruction;;Aucun;Parc Eolien En Beauté (ENGIE GREEN);;
0003014154;PE DES RIEUX;14.4;51070;BOISSY-LE-REPOS;51;44;;;;;;;;Autorisation;En instruction;;Aucun;VALECO;85115264500012;2023-07-21
0003014154;PE DES RIEUX;14.4;51596;VAUCHAMPS;51;44;;;;;;;;Autorisation;En instruction;;Aucun;VALECO;85115264500012;2023-07-21
0003014162;parc éolien des Portes de Champagne 2;18.0;51258;LA FORESTIERE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014162;parc éolien des Portes de Champagne 2;18.0;51236;LES ESSARTS LE VICOMTE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014183;PE DE LA COTE DU MOULIN;17.1;51616;VESIGNEUL-SUR-MARNE;51;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;PE DE LA COTE DU MOULIN;88227864100015;
0003014287;YAWAY 2022 2_SAINT PIERRE;8.4;51509;SAINT-PIERRE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003014293;SOURCE DE L'ARCE;7.2;10136;EGUILLY SOUS BOIS;10;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014293;SOURCE DE L'ARCE;7.2;10438;VITRY-LE-CROISE;10;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014322;LA CÔTE RONDE;13.2;51339;MAIRY SUR MARNE;51;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014323;LES TRENTE JOURNEES;13.2;51339;MAIRY SUR MARNE;51;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014426;Eoliennes de la Haute Voie;18.0;51328;LOISY-SUR-MARNE;51;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003014426;Eoliennes de la Haute Voie;18.0;51340;MAISONS EN CHAMPAGNE;51;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003014428;Parc éolien de Fromentières;18.0;51042;BAYE;51;44;;;;2025-12-12;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014428;Parc éolien de Fromentières;18.0;51263;FROMENTIERES;51;44;;;;2025-12-12;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014428;Parc éolien de Fromentières;18.0;51304;JANVILLIERS;51;44;;;;2025-12-12;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014493;SEPE VILLIERS-AUX-CHENES;17.35;52178;DOULEVANT-LE-CHATEAU;52;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014547;PE DE BRONNE-SANS SOUCI;25.2;51179;COUPEVILLE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014547;PE DE BRONNE-SANS SOUCI;25.2;51589;VANAULT-LE-CHATEL;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014565;Centrale Eolienne de Demange;19.7;55150;DEMANGE-BAUDIGNECOURT;55;44;;;;2017-08-28;2018-08-01;;En exploitation;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003014607;Parc éolien de Nuisement et Cheniers;62.7;51146;CHENIERS;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Parc Eolien de Nuisement et Cheniers S.A.S.;;2023-07-21
0003014607;Parc éolien de Nuisement et Cheniers;62.7;51409;NUISEMENT-SUR-COOLE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Parc Eolien de Nuisement et Cheniers S.A.S.;;2023-07-21
0003014610;Parc éolien des Cinq Poiriers;13.2;55178;ERIZE ST DIZIER;55;44;;;;;;;;Autorisation;En instruction;;Aucun;Projet éolien des Cinq Poiriers;;
0003014610;Parc éolien des Cinq Poiriers;13.2;55207;GERY;55;44;;;;;;;;Autorisation;En instruction;;Aucun;Projet éolien des Cinq Poiriers;;
0003014614;Saint-Bon;10.8;51473;SAINT-BON;51;44;;;;2024-10-24;;;;Autorisation;En instruction;;Aucun;EDPR France Holding SAS;;2023-07-21
0003014615;PARC EOLIEN NONGEE 2;9.0;08410;SEMIDE;08;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;PARC EOLIEN NONGEE 2;84974325700016;
0003014616;CE vallée de la craie;27.0;51354;MARSON;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014616;CE vallée de la craie;27.0;51436;POGNY;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014616;CE vallée de la craie;27.0;51616;VESIGNEUL-SUR-MARNE;51;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;2023-07-21
0003014619;Parc éolien des Lavières;12.6;52141;CONDES;52;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003014630;PROJET EOLIEN DE VOUE - SEPE GIROLLES;7.05;10442;VOUE;10;44;;;;;;;;Autorisation;En instruction;;Aucun;Exploitant anonymisé;siret anonyme;
0003014662;Parc éolien des Rapailles;22.5;57158;CRAINCOURT;57;44;;;;;;;En attente de construction;Autorisation;Autorisé;;Aucun;Exploitant anonymisé;siret anonyme;
0003014834;Les 7 Ecornés;3.6;51436;POGNY;51;44;;;;2022-03-10;;;En construction;Autorisation;Autorisé;;Aucun;SARL MONT FAVERGER;;2023-07-21
